,EPSG:4326_Long,EPSG:4326_Lat,Address,Description
168,0.0,0.0,TBD,AoT Syracuse (S) [CP]
169,-87.58713399999998,41.789737,"UChicago, Shapiro Hall Chicago IL",AoT Chicago (S) [CP] {UChicago}
170,-87.62969,41.88575,Dearborn St & Lake St Chicago IL,AoT Chicago (S) [P]
171,0.0,0.0,"Surya,02:04/02/18, 03:/04/17/18, 04:/04/23/18",AoT Node (S) [C]
172,-87.63153299999998,41.92617,Lake Shore Drive & Fullerton Ave Chicago IL,AoT Chicago (S) [C]
173,84.3963,33.7756,Georgia Tech,AoT GA Tech (S) [CP]
174,-88.062771,41.922183,"Surya Burn-In, (12/21/2018)",AoT Node (S) [CP]
175,-87.613419,41.692837,111th St & Martin Luther King Dr Chicago IL,AoT Chicago (S) [CP]
176,-87.64914499999998,41.779805,Morgan Ave & 63rd St Chicago IL,AoT Chicago (S) [CP]
177,-88.062771,41.922183,"Surya Burn-In, (29/04/2019)",AoT Node (S) [CP]
178,0.0,0.0,CDOT (2019/02/15),AoT Chicago (S) [CP]
179,-87.671154,41.699234,107th St & Longwood Ave Chicago IL,AoT Chicago (S) [CP]
180,-87.659612,41.714021,99th St & Beverly Blvd Chicago IL,AoT Chicago (S) [CP]
181,-87.66263000000002,41.721301,95th St & Ashland Ave Chicago IL,AoT Chicago (S) [CP]
182,-87.98195799999998,41.718434,Argonne TCS Outside,AoT Node (S) [CP]
183,-87.681606,41.706381,103rd & Western Ave Chicago IL,AoT Chicago (S) [CP]
184,-88.062771,41.922183,"Surya Burn-In, (29/04/2019)",AoT Node (S) [CP]
185,-88.062771,41.922183,"Surya Burn-In, (25/02/2019)",AoT Node (S) [CP]
186,-87.622214,41.785715,60th & Michigan Ave Chicago IL,AoT Chicago (S) [CP]
187,-88.062771,41.922183,"Surya Burn-In, (25/02,2019)",AoT Node (S) [CP]
188,0.0,0.0,TBD,AoT Vanderbilt (S) [CP]
189,-87.622479,41.794467,Garfield Blvd & Michigan Ave Chicago IL,AoT Chicago (S) [CP]
190,-87.644777,41.779889,63rd St & Halsted Ave Chicago IL,AoT Chicago (S) [CP]
191,-87.62102,41.692703,111th & Michigan Ave Chicago IL,AoT Chicago (S) [CP]
192,-87.663723,41.691803,111th & Vincennes Chicago IL,AoT Chicago (S) [CP]
193,84.3963,33.7756,Georgia Tech,AoT GA Tech (S) [CP]
194,-87.654487,41.779744,Racine Ave & 63rd St Chicago IL,AoT Chicago (S) [CP]
195,-87.65935400000002,41.779593,Loomis Ave & 63rd St Chicago IL,AoT Chicago (S) [CP]
196,-88.062771,41.922183,"Surya Burn-In, (25/02,2019)",AoT Node (S) [CP]
197,0.0,0.0,TBD,AoT Vanderbilt (S) [CP]
198,-88.062771,41.922183,"Surya Burn_in, (23/05/2019)",AoT Node (S) [CP]
199,-87.981959,41.718448,TCS Outside,AoT Node (S) [CP]
